Name,Team,Dependencies Team,Docs URL,Repo URL,Hosted On
account-api,#interaction-and-personalisation-govuk,#interaction-and-personalisation-govuk,https://docs.publishing.service.gov.uk/repos/account-api.html,https://github.com/alphagov/account-api,aws
asset-manager,#govuk-publishing-platform,#govuk-publishing-platform,https://docs.publishing.service.gov.uk/repos/asset-manager.html,https://github.com/alphagov/asset-manager,aws
authenticating-proxy,#navigation-and-presentation-govuk,#navigation-and-presentation-govuk,https://docs.publishing.service.gov.uk/repos/authenticating-proxy.html,https://github.com/alphagov/authenticating-proxy,aws
bouncer,#navigation-and-presentation-govuk,#navigation-and-presentation-govuk,https://docs.publishing.service.gov.uk/repos/bouncer.html,https://github.com/alphagov/bouncer,aws
cache-clearing-service,#navigation-and-presentation-govuk,#navigation-and-presentation-govuk,https://docs.publishing.service.gov.uk/repos/cache-clearing-service.html,https://github.com/alphagov/cache-clearing-service,aws
ckanext-datagovuk,#govuk-datagovuk,#govuk-datagovuk,https://docs.publishing.service.gov.uk/repos/ckanext-datagovuk.html,https://github.com/alphagov/ckanext-datagovuk,aws
collections,#navigation-and-presentation-govuk,#navigation-and-presentation-govuk,https://docs.publishing.service.gov.uk/repos/collections.html,https://github.com/alphagov/collections,aws
collections-publisher,#govuk-publishing-experience-tech,#govuk-publishing-experience-tech,https://docs.publishing.service.gov.uk/repos/collections-publisher.html,https://github.com/alphagov/collections-publisher,aws
contacts-admin,#govuk-publishing-experience-tech,#govuk-publishing-experience-tech,https://docs.publishing.service.gov.uk/repos/contacts-admin.html,https://github.com/alphagov/contacts-admin,aws
content-data-admin,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/content-data-admin.html,https://github.com/alphagov/content-data-admin,aws
content-data-api,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/content-data-api.html,https://github.com/alphagov/content-data-api,aws
content-publisher,#govuk-publishing-experience-tech,#govuk-publishing-experience-tech,https://docs.publishing.service.gov.uk/repos/content-publisher.html,https://github.com/alphagov/content-publisher,aws
content-store,#govuk-publishing-platform,#govuk-publishing-platform,https://docs.publishing.service.gov.uk/repos/content-store.html,https://github.com/alphagov/content-store,aws
