Name,Team,Dependencies Team,Docs URL,Repo URL,Hosted On
account-api,#govuk-accounts-tech,#govuk-accounts-tech,https://docs.publishing.service.gov.uk/repos/account-api.html,https://github.com/alphagov/account-api,aws
asset-manager,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/asset-manager.html,https://github.com/alphagov/asset-manager,aws
asset_bom_removal-rails,unknown,unknown,https://docs.publishing.service.gov.uk/repos/asset_bom_removal-rails.html,https://github.com/alphagov/asset_bom_removal-rails,
authenticating-proxy,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/authenticating-proxy.html,https://github.com/alphagov/authenticating-proxy,aws
bouncer,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/bouncer.html,https://github.com/alphagov/bouncer,aws
bulk-merger,unknown,unknown,https://docs.publishing.service.gov.uk/repos/bulk-merger.html,https://github.com/alphagov/bulk-merger,
cache-clearing-service,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/cache-clearing-service.html,https://github.com/alphagov/cache-clearing-service,aws
ckan-functional-tests,#govuk-datagovuk,#govuk-datagovuk,https://docs.publishing.service.gov.uk/repos/ckan-functional-tests.html,https://github.com/alphagov/ckan-functional-tests,
ckanext-datagovuk,#govuk-datagovuk,#govuk-datagovuk,https://docs.publishing.service.gov.uk/repos/ckanext-datagovuk.html,https://github.com/alphagov/ckanext-datagovuk,aws
collections,#find-and-view-tech,#govuk-corona-services-tech,https://docs.publishing.service.gov.uk/repos/collections.html,https://github.com/alphagov/collections,aws
collections-publisher,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/collections-publisher.html,https://github.com/alphagov/collections-publisher,aws
contacts-admin,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/contacts-admin.html,https://github.com/alphagov/contacts-admin,aws
content-data-admin,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/content-data-admin.html,https://github.com/alphagov/content-data-admin,aws
content-data-api,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/content-data-api.html,https://github.com/alphagov/content-data-api,aws
content-publisher,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/content-publisher.html,https://github.com/alphagov/content-publisher,aws
content-store,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/content-store.html,https://github.com/alphagov/content-store,aws
content-tagger,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/content-tagger.html,https://github.com/alphagov/content-tagger,aws
datagovuk-tech-docs,#govuk-datagovuk,#govuk-datagovuk,https://docs.publishing.service.gov.uk/repos/datagovuk-tech-docs.html,https://github.com/alphagov/datagovuk-tech-docs,paas
datagovuk_find,#govuk-datagovuk,#govuk-datagovuk,https://docs.publishing.service.gov.uk/repos/datagovuk_find.html,https://github.com/alphagov/datagovuk_find,paas
datagovuk_publish,#govuk-datagovuk,#govuk-datagovuk,https://docs.publishing.service.gov.uk/repos/datagovuk_publish.html,https://github.com/alphagov/datagovuk_publish,paas
datagovuk_publish_queue_monitor,#govuk-datagovuk,#govuk-datagovuk,https://docs.publishing.service.gov.uk/repos/datagovuk_publish_queue_monitor.html,https://github.com/alphagov/datagovuk_publish_queue_monitor,paas
datagovuk_reference,#govuk-datagovuk,#govuk-datagovuk,https://docs.publishing.service.gov.uk/repos/datagovuk_reference.html,https://github.com/alphagov/datagovuk_reference,heroku
eligibility-viewer,#govuk-data-labs,#govuk-data-labs,https://docs.publishing.service.gov.uk/repos/eligibility-viewer.html,https://github.com/alphagov/eligibility-viewer,
email-alert-api,#govuk-accounts-tech,#govuk-accounts-tech,https://docs.publishing.service.gov.uk/repos/email-alert-api.html,https://github.com/alphagov/email-alert-api,aws
email-alert-frontend,#govuk-accounts-tech,#govuk-accounts-tech,https://docs.publishing.service.gov.uk/repos/email-alert-frontend.html,https://github.com/alphagov/email-alert-frontend,aws
email-alert-monitoring,#govuk-accounts-tech,#govuk-accounts-tech,https://docs.publishing.service.gov.uk/repos/email-alert-monitoring.html,https://github.com/alphagov/email-alert-monitoring,
email-alert-service,#govuk-accounts-tech,#govuk-accounts-tech,https://docs.publishing.service.gov.uk/repos/email-alert-service.html,https://github.com/alphagov/email-alert-service,aws
feedback,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/feedback.html,https://github.com/alphagov/feedback,aws
finder-frontend,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/finder-frontend.html,https://github.com/alphagov/finder-frontend,aws
frontend,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/frontend.html,https://github.com/alphagov/frontend,aws
gds-api-adapters,#govuk-developers,#govuk-developers,https://docs.publishing.service.gov.uk/repos/gds-api-adapters.html,https://github.com/alphagov/gds-api-adapters,
gds-sso,unknown,unknown,https://docs.publishing.service.gov.uk/repos/gds-sso.html,https://github.com/alphagov/gds-sso,
government-frontend,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/government-frontend.html,https://github.com/alphagov/government-frontend,aws
govspeak,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/govspeak.html,https://github.com/alphagov/govspeak,
govspeak-preview,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/govspeak-preview.html,https://github.com/alphagov/govspeak-preview,heroku
govuk-accessibility-reports,#govuk-data-labs,#govuk-data-labs,https://docs.publishing.service.gov.uk/repos/govuk-accessibility-reports.html,https://github.com/alphagov/govuk-accessibility-reports,
govuk-app-deployment,unknown,unknown,https://docs.publishing.service.gov.uk/repos/govuk-app-deployment.html,https://github.com/alphagov/govuk-app-deployment,
govuk-aws,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/govuk-aws.html,https://github.com/alphagov/govuk-aws,
govuk-aws-data,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/govuk-aws-data.html,https://github.com/alphagov/govuk-aws-data,
govuk-browser-extension,#govuk-developers,#govuk-developers,https://docs.publishing.service.gov.uk/repos/govuk-browser-extension.html,https://github.com/alphagov/govuk-browser-extension,
govuk-cdn-config,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/govuk-cdn-config.html,https://github.com/alphagov/govuk-cdn-config,
govuk-content-store-examples,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/govuk-content-store-examples.html,https://github.com/alphagov/govuk-content-schemas,heroku
govuk-dependencies,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/govuk-dependencies.html,https://github.com/alphagov/govuk-dependencies,heroku
govuk-deploy-lag-badger,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/govuk-deploy-lag-badger.html,https://github.com/alphagov/govuk-deploy-lag-badger,
govuk-display-screen,unknown,unknown,https://docs.publishing.service.gov.uk/repos/govuk-display-screen.html,https://github.com/alphagov/govuk-display-screen,heroku
govuk-dns,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/govuk-dns.html,https://github.com/alphagov/govuk-dns,
govuk-docker,#govuk-developers,#govuk-developers,https://docs.publishing.service.gov.uk/repos/govuk-docker.html,https://github.com/alphagov/govuk-docker,
govuk-jenkinslib,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/govuk-jenkinslib.html,https://github.com/alphagov/govuk-jenkinslib,
govuk-knowledge-graph,#govuk-data-labs,#govuk-data-labs,https://docs.publishing.service.gov.uk/repos/govuk-knowledge-graph.html,https://github.com/alphagov/govuk-knowledge-graph,
govuk-load-testing,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/govuk-load-testing.html,https://github.com/alphagov/govuk-load-testing,
govuk-pact-broker,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/govuk-pact-broker.html,https://github.com/alphagov/govuk-pact-broker,paas
govuk-puppet,#govuk-developers,#govuk-developers,https://docs.publishing.service.gov.uk/repos/govuk-puppet.html,https://github.com/alphagov/govuk-puppet,
govuk-related-links-recommender,#govuk-data-labs,#govuk-data-labs,https://docs.publishing.service.gov.uk/repos/govuk-related-links-recommender.html,https://github.com/alphagov/govuk-related-links-recommender,
govuk-saas-config,unknown,unknown,https://docs.publishing.service.gov.uk/repos/govuk-saas-config.html,https://github.com/alphagov/govuk-saas-config,
govuk-secondline-blinken,unknown,unknown,https://docs.publishing.service.gov.uk/repos/govuk-secondline-blinken.html,https://github.com/alphagov/blinkenjs,heroku
govuk-secrets,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/govuk-secrets.html,https://github.com/alphagov/govuk-secrets,
govuk-user-intent-survey-explorer,#govuk-data-labs,#govuk-data-labs,https://docs.publishing.service.gov.uk/repos/govuk-user-intent-survey-explorer.html,https://github.com/alphagov/govuk-user-intent-survey-explorer,
govuk-user-journey-models,#govuk-data-labs,#govuk-data-labs,https://docs.publishing.service.gov.uk/repos/govuk-user-journey-models.html,https://github.com/alphagov/govuk-user-journey-models,
govuk-user-reviewer,unknown,unknown,https://docs.publishing.service.gov.uk/repos/govuk-user-reviewer.html,https://github.com/alphagov/govuk-user-reviewer,
govuk-zendesk-display-screen,unknown,unknown,https://docs.publishing.service.gov.uk/repos/govuk-zendesk-display-screen.html,https://github.com/alphagov/govuk-zendesk-display-screen,heroku
govuk_ab_testing,#govuk-developers,#govuk-developers,https://docs.publishing.service.gov.uk/repos/govuk_ab_testing.html,https://github.com/alphagov/govuk_ab_testing,
govuk_app_config,#govuk-developers,#govuk-developers,https://docs.publishing.service.gov.uk/repos/govuk_app_config.html,https://github.com/alphagov/govuk_app_config,
govuk_document_types,unknown,unknown,https://docs.publishing.service.gov.uk/repos/govuk_document_types.html,https://github.com/alphagov/govuk_document_types,
govuk_message_queue_consumer,unknown,unknown,https://docs.publishing.service.gov.uk/repos/govuk_message_queue_consumer.html,https://github.com/alphagov/govuk_message_queue_consumer,
govuk_publishing_components,unknown,unknown,https://docs.publishing.service.gov.uk/repos/govuk_publishing_components.html,https://github.com/alphagov/govuk_publishing_components,
govuk_schemas,#govuk-developers,#govuk-developers,https://docs.publishing.service.gov.uk/repos/govuk_schemas.html,https://github.com/alphagov/govuk_schemas,
govuk_sidekiq,unknown,unknown,https://docs.publishing.service.gov.uk/repos/govuk_sidekiq.html,https://github.com/alphagov/govuk_sidekiq,
govuk_taxonomy_helpers,unknown,unknown,https://docs.publishing.service.gov.uk/repos/govuk_taxonomy_helpers.html,https://github.com/alphagov/govuk_taxonomy_helpers,
hmrc-manuals-api,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/hmrc-manuals-api.html,https://github.com/alphagov/hmrc-manuals-api,aws
imminence,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/imminence.html,https://github.com/alphagov/imminence,aws
info-frontend,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/info-frontend.html,https://github.com/alphagov/info-frontend,aws
licence-finder,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/licence-finder.html,https://github.com/alphagov/licence-finder,aws
licensify,#govuk-licensing,#govuk-licensing,https://docs.publishing.service.gov.uk/repos/licensify.html,https://github.com/alphagov/licensify,aws
licensify-admin,#govuk-licensing,#govuk-licensing,https://docs.publishing.service.gov.uk/repos/licensify-admin.html,https://github.com/alphagov/licensify-admin,aws
licensify-feed,#govuk-licensing,#govuk-licensing,https://docs.publishing.service.gov.uk/repos/licensify-feed.html,https://github.com/alphagov/licensify-feed,aws
link-checker-api,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/link-checker-api.html,https://github.com/alphagov/link-checker-api,aws
local-links-manager,#find-and-view-tech,#govuk-corona-services-tech,https://docs.publishing.service.gov.uk/repos/local-links-manager.html,https://github.com/alphagov/local-links-manager,aws
locations-api,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/locations-api.html,https://github.com/alphagov/locations-api,aws
manuals-frontend,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/manuals-frontend.html,https://github.com/alphagov/manuals-frontend,aws
manuals-publisher,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/manuals-publisher.html,https://github.com/alphagov/manuals-publisher,aws
mapit,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/mapit.html,https://github.com/alphagov/mapit,aws
maslow,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/maslow.html,https://github.com/alphagov/maslow,aws
omniauth-gds,unknown,unknown,https://docs.publishing.service.gov.uk/repos/omniauth-gds.html,https://github.com/alphagov/omniauth-gds,
optic14n,unknown,unknown,https://docs.publishing.service.gov.uk/repos/optic14n.html,https://github.com/alphagov/optic14n,
plek,unknown,unknown,https://docs.publishing.service.gov.uk/repos/plek.html,https://github.com/alphagov/plek,
publisher,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/publisher.html,https://github.com/alphagov/publisher,aws
publishing-api,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/publishing-api.html,https://github.com/alphagov/publishing-api,aws
publishing-e2e-tests,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/publishing-e2e-tests.html,https://github.com/alphagov/publishing-e2e-tests,
rack-logstasher,unknown,unknown,https://docs.publishing.service.gov.uk/repos/rack-logstasher.html,https://github.com/alphagov/rack-logstasher,
rails_translation_manager,unknown,unknown,https://docs.publishing.service.gov.uk/repos/rails_translation_manager.html,https://github.com/alphagov/rails_translation_manager,
release,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/release.html,https://github.com/alphagov/release,aws
router,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/router.html,https://github.com/alphagov/router,aws
router-api,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/router-api.html,https://github.com/alphagov/router-api,aws
rubocop-govuk,unknown,unknown,https://docs.publishing.service.gov.uk/repos/rubocop-govuk.html,https://github.com/alphagov/rubocop-govuk,
seal,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/seal.html,https://github.com/alphagov/seal,heroku
search-admin,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/search-admin.html,https://github.com/alphagov/search-admin,aws
search-analytics,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/search-analytics.html,https://github.com/alphagov/search-analytics,
search-api,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/search-api.html,https://github.com/alphagov/search-api,aws
search-performance-explorer,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/search-performance-explorer.html,https://github.com/alphagov/search-performance-explorer,heroku
service-manual-frontend,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/service-manual-frontend.html,https://github.com/alphagov/service-manual-frontend,aws
service-manual-publisher,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/service-manual-publisher.html,https://github.com/alphagov/service-manual-publisher,aws
short-url-manager,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/short-url-manager.html,https://github.com/alphagov/short-url-manager,aws
side-by-side-browser,unknown,unknown,https://docs.publishing.service.gov.uk/repos/side-by-side-browser.html,https://github.com/alphagov/side-by-side-browser,heroku
sidekiq-monitoring,unknown,unknown,https://docs.publishing.service.gov.uk/repos/sidekiq-monitoring.html,https://github.com/alphagov/sidekiq-monitoring,
signon,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/signon.html,https://github.com/alphagov/signon,aws
slimmer,#govuk-developers,#govuk-developers,https://docs.publishing.service.gov.uk/repos/slimmer.html,https://github.com/alphagov/slimmer,
smart-answers,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/smart-answers.html,https://github.com/alphagov/smart-answers,aws
smokey,#govuk-developers,#govuk-developers,https://docs.publishing.service.gov.uk/repos/smokey.html,https://github.com/alphagov/smokey,
special-route-publisher,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/special-route-publisher.html,https://github.com/alphagov/special-route-publisher,
specialist-publisher,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/specialist-publisher.html,https://github.com/alphagov/specialist-publisher,aws
static,#find-and-view-tech,#find-and-view-tech,https://docs.publishing.service.gov.uk/repos/static.html,https://github.com/alphagov/static,aws
support,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/support.html,https://github.com/alphagov/support,aws
support-api,#govuk-platform-reliability-team,#govuk-platform-reliability-team,https://docs.publishing.service.gov.uk/repos/support-api.html,https://github.com/alphagov/support-api,aws
transition,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/transition.html,https://github.com/alphagov/transition,aws
transition-config,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/transition-config.html,https://github.com/alphagov/transition-config,
travel-advice-publisher,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/travel-advice-publisher.html,https://github.com/alphagov/travel-advice-publisher,aws
whitehall,#govuk-publishing-tech,#govuk-publishing-tech,https://docs.publishing.service.gov.uk/repos/whitehall.html,https://github.com/alphagov/whitehall,aws

